"Rk","Team","Overall","Home","Road","X3","X10","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Season","Wins","Losses"
" 6","Portland Trail Blazers","53-29","32-9","21-20","4-6","29-8","5-2","8-7","8-7","11-4","6-3","10-5","5-1",NA,"2019","53","29"
" 7","Philadelphia 76ers","51-31","31-10","20-21","10-8","22-16","4-4","12-4","7-6","11-4","6-4","9-5","2-4",NA,"2019","51","31"
" 8","Utah Jazz","50-32","29-12","21-20","0-7","34-12","4-3","7-9","7-7","11-4","6-3","11-4","4-2",NA,"2019","50","32"
" 9","Boston Celtics","49-33","28-13","21-20","5-6","24-12","5-2","7-8","9-5","11-4","5-6","8-7","4-1",NA,"2019","49","33"
"10","Oklahoma City Thunder","49-33","27-14","22-19","6-7","23-12","2-4","12-3","9-6","9-5","6-5","6-10","5-0",NA,"2019","49","33"
"11","Indiana Pacers","48-34","29-12","19-22","6-6","23-16","5-3","8-6","12-3","7-7","9-3","4-10","3-2",NA,"2019","48","34"
"12","Los Angeles Clippers","48-34","26-15","22-19","6-2","23-18","4-3","11-3","6-9","7-9","6-5","13-2","1-3",NA,"2019","48","34"
"13","San Antonio Spurs","48-34","32-9","16-25","7-4","25-16","5-2","5-10","11-5","10-5","3-7","10-4","4-1",NA,"2019","48","34"
"14","Brooklyn Nets","42-40","23-18","19-22","12-8","16-22","3-5","5-10","9-6","11-4","4-6","7-7","3-2",NA,"2019","42","40"
"15","Orlando Magic","42-40","25-16","17-24","5-6","21-21","2-5","9-7","5-8","5-11","8-3","9-5","4-1",NA,"2019","42","40"
"16","Detroit Pistons","41-41","26-15","15-26","6-9","16-21","4-3","8-4","4-11","6-10","7-3","10-6","2-4",NA,"2019","41","41"
"17","Charlotte Hornets","39-43","25-16","14-27","6-10","21-20","4-4","7-7","7-7","6-8","4-7","7-8","4-2",NA,"2019","39","43"
"18","Miami Heat","39-43","19-22","20-21","6-9","16-20","3-4","5-9","9-5","7-7","3-9","11-4","1-5",NA,"2019","39","43"
"19","Sacramento Kings","39-43","24-17","15-26","6-7","16-18","5-3","5-8","9-6","7-8","5-5","7-9","1-4",NA,"2019","39","43"
"20","Los Angeles Lakers","37-45","22-19","15-26","5-4","16-25","3-5","10-4","8-7","6-9","3-6","5-11","2-3",NA,"2019","37","45"
"21","Minnesota Timberwolves","36-46","25-16","11-30","8-5","19-22","4-4","7-7","6-9","8-6","4-7","5-9","2-4",NA,"2019","36","46"
"22","Dallas Mavericks","33-49","24-17","9-32","7-7","12-22","2-6","8-4","7-9","6-9","4-6","3-12","3-3",NA,"2019","33","49"
"23","Memphis Grizzlies","33-49","21-20","12-29","6-9","14-19","4-2","9-6","5-10","2-14","4-7","7-7","2-3",NA,"2019","33","49"
"24","New Orleans Pelicans","33-49","19-22","14-27","4-6","15-20","4-3","7-9","6-9","6-8","4-7","5-10","1-3",NA,"2019","33","49"
"25","Washington Wizards","32-50","22-19","10-31","5-6","14-23","1-6","7-8","6-9","8-6","3-7","7-10","0-4",NA,"2019","32","50"
"26","Atlanta Hawks","29-53","17-24","12-29","9-6","7-31","2-5","3-13","6-7","5-9","5-7","7-8","1-4",NA,"2019","29","53"
"27","Chicago Bulls","22-60","9-32","13-28","8-8","9-31","2-6","3-12","5-9","2-13","5-5","4-11","1-4",NA,"2019","22","60"
"28","Cleveland Cavaliers","19-63","13-28","6-35","5-4","6-43","1-6","3-11","4-12","3-12","4-6","4-11","0-5",NA,"2019","19","63"
"29","Phoenix Suns","19-63","12-29","7-34","5-5","5-40","1-6","3-12","5-11","2-13","1-8","5-10","2-3",NA,"2019","19","63"
"30","New York Knicks","17-65","9-32","8-33","4-7","6-41","2-6","5-10","2-12","1-12","3-9","1-13","3-3",NA,"2019","17","65"
