"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Season","MVP","First","Share","Team.Wins"
" 33","Mike Bibby","PG",21,"VAN",82,82,38.5,5.6,12.6,0.445,0.9,2.6,0.363,4.7,10,0.466,0.483,2.4,3,0.78,0.9,2.8,3.7,8.1,1.6,0.2,3,2.1,14.5,"2000",FALSE,0,0,22
" 35","Mookie Blaylock","PG",32,"GSW",73,72,33.7,4.5,11.5,0.391,1.4,4.1,0.336,3.1,7.3,0.422,0.451,0.9,1.3,0.705,0.8,2.9,3.7,6.7,2,0.3,2,1.7,11.3,"2000",FALSE,0,0,19
" 37","Muggsy Bogues","PG",35,"TOR",80,5,21.6,2,4.5,0.439,0.2,0.6,0.333,1.8,3.8,0.456,0.462,1,1.1,0.908,0.3,1.4,1.7,3.7,0.8,0.1,0.7,1.5,5.1,"2000",FALSE,0,0,45
" 41","Cal Bowdler","SF",22,"ATL",46,0,9.2,1.1,2.5,0.426,0,0,0,1.1,2.5,0.43,0.426,0.5,0.8,0.632,0.5,1.4,1.8,0.3,0.3,0.2,0.5,1,2.7,"2000",FALSE,0,0,28
" 43","Ryan Bowen","SF",24,"DEN",52,0,11.3,0.9,2.3,0.393,0,0.2,0.111,0.9,2.1,0.417,0.397,0.7,1,0.717,1.4,0.8,2.2,0.4,0.8,0.3,0.3,1.8,2.5,"2000",FALSE,0,0,35
" 46","Shawn Bradley","C",27,"DAL",77,54,24.7,3.5,7.2,0.479,0,0.1,0.2,3.4,7.1,0.482,0.48,1.5,1.9,0.765,2.1,4.4,6.5,0.8,0.9,2.5,1,3.4,8.4,"2000",FALSE,0,0,40
" 48","Elton Brand","PF",20,"CHI",81,80,37,7.8,16.1,0.482,0,0,0,7.8,16.1,0.483,0.482,4.5,6.6,0.685,4.3,5.7,10,1.9,0.8,1.6,2.8,3.2,20.1,"2000",FALSE,0,0,17
" 49","Terrell Brandon","PG",29,"MIN",71,71,36.4,6.8,14.7,0.466,0.7,1.9,0.402,6.1,12.8,0.476,0.492,2.6,2.9,0.899,0.6,2.7,3.4,8.9,1.9,0.4,2.6,2.2,17.1,"2000",FALSE,0,0,50
" 53","P.J. Brown","PF",30,"MIA",80,80,28.8,4,8.4,0.48,0,0,0,4,8.4,0.481,0.48,1.5,2,0.755,2.7,4.8,7.5,1.8,0.8,0.8,1.3,3.3,9.6,"2000",FALSE,0,0,52
" 54","Randy Brown","PG",31,"CHI",59,55,27.5,2.7,7.4,0.361,0.1,0.1,0.5,2.6,7.3,0.359,0.364,1.1,1.4,0.738,0.4,2.1,2.4,3.4,1,0.3,1.8,2,6.4,"2000",FALSE,0,0,17
" 56","Kobe Bryant","SG",21,"LAL",66,62,38.2,8.4,17.9,0.468,0.7,2.2,0.319,7.7,15.7,0.489,0.488,5,6.1,0.821,1.6,4.7,6.3,4.9,1.6,0.9,2.8,3.3,22.5,"2000",FALSE,0,0.002,67
" 58","Greg Buckner","SG",23,"DAL",48,1,19.2,2.3,4.9,0.476,0.2,0.5,0.385,2.1,4.3,0.488,0.498,0.9,1.3,0.683,1.2,2.5,3.6,1.1,0.8,0.4,0.8,3.1,5.7,"2000",FALSE,0,0,40
