"Rank","Player","Age","Tm","First","Pts.Won","Pts.Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG.","X3P.","FT.","WS","WS.48","Season","Team.Wins","MVP"
1,"Dirk Nowitzki",28,"DAL",83,1138,1290,0.882,0.9512195,0.8850856,0.778481,0.6953125,0.2931034,0.3333333,0.33333333,0.8494078,0.416,1,16.3,1,2007,67,TRUE
2,"Steve Nash",32,"PHO",44,1013,1290,0.785,0.9268293,0.8630807,0.5886076,0.2734375,1,0.3809524,0.04166667,0.9001692,0.455,0.994469,12.6,0.8093525,2007,61,FALSE
3,"Kobe Bryant",28,"LAL",2,521,1290,0.404,0.9390244,0.997555,1,0.4453125,0.4655172,0.6666667,0.20833333,0.7834179,0.344,0.960177,13,0.7158273,2007,42,FALSE
4,"Tim Duncan",30,"SAS",0,286,1290,0.222,0.9756098,0.8337408,0.6329114,0.828125,0.2931034,0.3809524,1,0.9238579,0.111,0.704646,13,0.8273381,2007,58,FALSE
5,"LeBron James",22,"CLE",0,183,1290,0.142,0.9512195,1,0.8639241,0.5234375,0.5172414,0.7619048,0.29166667,0.8054146,0.319,0.7721239,13.7,0.7410072,2007,50,FALSE
6,"Tracy McGrady",27,"HOU",0,110,1290,0.085,0.8658537,0.8753056,0.778481,0.4140625,0.5603448,0.6190476,0.20833333,0.7292724,0.331,0.7820796,8.6,0.5863309,2007,52,FALSE
7,"Chris Bosh",22,"TOR",0,43,1290,0.033,0.8414634,0.9413203,0.7151899,0.8359375,0.2155172,0.2857143,0.54166667,0.8392555,0.343,0.8683628,9.6,0.6258993,2007,47,FALSE
8,"Gilbert Arenas",25,"WAS",0,31,1290,0.024,0.902439,0.9731051,0.8987342,0.359375,0.5172414,0.9047619,0.08333333,0.7072758,0.351,0.9336283,10.8,0.6366906,2007,41,FALSE
9,"Kevin Garnett",30,"MIN",0,7,1290,0.005,0.9268293,0.9633252,0.7088608,1,0.3534483,0.5714286,0.70833333,0.8054146,0.214,0.9236726,10.7,0.6151079,2007,32,FALSE
11,"Chauncey Billups",30,"DET",0,4,1290,0.003,0.8536585,0.8850856,0.5379747,0.265625,0.6206897,0.5714286,0.08333333,0.7225042,0.345,0.9767699,11.4,0.7769784,2007,53,FALSE
12,"Dwyane Wade",25,"MIA",0,3,1290,0.002,0.6219512,0.9266504,0.8670886,0.3671875,0.6465517,1,0.5,0.8307953,0.266,0.8926991,8.8,0.7877698,2007,44,FALSE
14,"Amar'e Stoudemire",24,"PHO",0,2,1290,0.002,1,0.801956,0.6455696,0.75,0.0862069,0.4761905,0.54166667,0.9729272,0,0.8639381,11.2,0.7230216,2007,61,FALSE
15,"Carmelo Anthony",22,"DEN",0,1,1290,0.001,0.7926829,0.9339853,0.914557,0.46875,0.3275862,0.5714286,0.16666667,0.8054146,0.268,0.8938053,7.3,0.5035971,2007,45,FALSE
15,"Baron Davis",27,"GSW",0,1,1290,0.001,0.7682927,0.8630807,0.6360759,0.34375,0.6982759,1,0.20833333,0.7428088,0.304,0.824115,6.4,0.5,2007,42,FALSE
15,"Tony Parker",24,"SAS",0,1,1290,0.001,0.9390244,0.794621,0.5886076,0.25,0.4741379,0.5238095,0.04166667,0.8798646,0.395,0.8661504,9.6,0.6654676,2007,58,FALSE
1,"Kobe Bryant",29,"LAL",82,1100,1260,0.873,1,0.9628713,0.9433333,0.443662,0.4655172,0.6666667,0.23809524,0.7662771,0.361,0.9271523,13.8,0.7323944,2008,57,TRUE
2,"Chris Paul",22,"NOH",28,894,1260,0.71,0.9756098,0.9306931,0.7033333,0.2816901,1,1,0.04761905,0.8146912,0.369,0.9392936,17.8,1,2008,56,FALSE
3,"Kevin Garnett",31,"BOS",15,670,1260,0.532,0.8658537,0.8118812,0.6266667,0.6478873,0.2931034,0.5185185,0.61904762,0.8998331,0,0.884106,12.9,0.9330986,2008,66,FALSE
4,"LeBron James",23,"CLE",1,438,1260,0.348,0.9146341,1,1,0.556338,0.6206897,0.6666667,0.52380952,0.8080134,0.315,0.785872,15.2,0.8521127,2008,45,FALSE
5,"Dwight Howard",22,"ORL",0,60,1260,0.048,1,0.9331683,0.69,1,0.112069,0.3333333,1,1,0,0.6512141,12.9,0.7042254,2008,52,FALSE
